alpha,metric,group,data,opt
0.1,LIR,Under 18,0.04706616832149426,ETDopt
0.1,LIR,18-24,0.059216105050992514,ETDopt
0.1,LIR,25-34,0.0512641634525739,ETDopt
0.1,LIR,35-44,0.04620533516934461,ETDopt
0.1,LIR,45-49,0.06104135862435742,ETDopt
0.1,LIR,50-55,0.033651337902266626,ETDopt
0.1,LIR,56+,0.06513541004800318,ETDopt
0.1,SEP,Overall,0.8568465756813587,ETDopt
0.1,SEP,Male,0.8559391559773006,ETDopt
0.1,SEP,Female,0.8587077353704361,ETDopt
0.1,SEP,Under 18,0.8583105242777467,ETDopt
0.1,SEP,18-24,0.8560561373244813,ETDopt
0.1,SEP,25-34,0.8563978109943599,ETDopt
0.1,SEP,35-44,0.8523922929189318,ETDopt
0.1,SEP,45-49,0.8597743914985457,ETDopt
0.1,SEP,50-55,0.8548605288241902,ETDopt
0.1,SEP,56+,0.8654545542092317,ETDopt
0.1,ETD,Overall,0.30719088163426367,ETDopt
0.1,ETD,Male,0.30794029323441097,ETDopt
0.1,ETD,Female,0.30840369923602734,ETDopt
0.1,ETD,Under 18,0.3073053368328959,ETDopt
0.1,ETD,18-24,0.30911680911680917,ETDopt
0.1,ETD,25-34,0.30791859567901236,ETDopt
0.1,ETD,35-44,0.3048371647509579,ETDopt
0.1,ETD,45-49,0.30379746835443033,ETDopt
0.1,ETD,50-55,0.30158730158730157,ETDopt
0.1,ETD,56+,0.30228758169934633,ETDopt
0.15,ndcg,Overall,0.03571428571428571,ETDopt
0.15,ndcg,Male,0.1,ETDopt
0.15,ndcg,Female,0.0,ETDopt
0.15,ndcg,Under 18,0.0,ETDopt
0.15,ndcg,18-24,0.0,ETDopt
0.15,ndcg,25-34,0.25,ETDopt
0.15,ndcg,35-44,nan,ETDopt
0.15,ndcg,45-49,nan,ETDopt
0.15,ndcg,50-55,nan,ETDopt
0.15,ndcg,56+,nan,ETDopt
0.15,hr,Overall,0.07142857142857142,ETDopt
0.15,hr,Male,0.2,ETDopt
0.15,hr,Female,0.0,ETDopt
0.15,hr,Under 18,0.0,ETDopt
0.15,hr,18-24,0.0,ETDopt
0.15,hr,25-34,0.5,ETDopt
0.15,hr,35-44,nan,ETDopt
0.15,hr,45-49,nan,ETDopt
0.15,hr,50-55,nan,ETDopt
0.15,hr,56+,nan,ETDopt
0.15,recall,Overall,0.017857142857142856,ETDopt
0.15,recall,Male,0.05,ETDopt
0.15,recall,Female,0.0,ETDopt
0.15,recall,Under 18,0.0,ETDopt
0.15,recall,18-24,0.0,ETDopt
0.15,recall,25-34,0.125,ETDopt
0.15,recall,35-44,nan,ETDopt
0.15,recall,45-49,nan,ETDopt
0.15,recall,50-55,nan,ETDopt
0.15,recall,56+,nan,ETDopt
0.15,precision,Overall,0.0071428571428571435,ETDopt
0.15,precision,Male,0.02,ETDopt
0.15,precision,Female,0.0,ETDopt
0.15,precision,Under 18,0.0,ETDopt
