dataset,model,role,optimized_metric,alpha,ndcg,hr,precision,recall,LIR,SEP,ETD,ndcg_delta_pct,hr_delta_pct,precision_delta_pct,recall_delta_pct,LIR_delta_pct,SEP_delta_pct,ETD_delta_pct,ndcg_retention_pct,optimized_metric_gain_pct,sweep_protocol,ndcg_scope
LastFM,PGPR,main,LIR,0.0,0.03090466256434531,0.18638850889192887,0.02535567715458325,0.01773135800447569,0.0006364892269594961,0.5688205015801188,0.1600851193190312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,PGPR,main,LIR,0.05,0.03090466256434531,0.18638850889192887,0.02535567715458325,0.01773135800447569,0.0038327709075204565,0.568477603997075,0.15977352181181112,0.0,0.0,0.0,0.0,502.1737281916887,-0.060282212418716015,-0.19464489175854652,100.0,502.1737281916887,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,PGPR,main,LIR,0.1,0.030898148925020096,0.18638850889192887,0.02535567715458325,0.01773135800447569,0.0038327709075204565,0.568477603997075,0.15977352181181112,-0.021076558631410964,0.0,0.0,0.0,502.1737281916887,-0.060282212418716015,-0.19464489175854652,99.9789234413686,502.1737281916887,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,PGPR,main,LIR,0.15,0.030903093184576614,0.18638850889192887,0.02535567715458325,0.01773135800447569,0.0038327709075204565,0.568477603997075,0.15977352181181112,-0.005078132677967259,0.0,0.0,0.0,502.1737281916887,-0.060282212418716015,-0.19464489175854652,99.99492186732203,502.1737281916887,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,PGPR,main,LIR,0.2,0.030901170387126684,0.18638850889192887,0.02535567715458325,0.01773135800447569,0.0038327709075204565,0.568477603997075,0.15977352181181112,-0.011299839340924843,0.0,0.0,0.0,502.1737281916887,-0.060282212418716015,-0.19464489175854652,99.98870016065908,502.1737281916887,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,PGPR,main,LIR,0.25,0.030898015436280492,0.18638850889192887,0.02535567715458325,0.01773135800447569,0.0038327709075204565,0.568477603997075,0.15977352181181112,-0.021508495849058288,0.0,0.0,0.0,502.1737281916887,-0.060282212418716015,-0.19464489175854652,99.97849150415095,502.1737281916887,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,PGPR,main,LIR,0.3,0.030891440979428822,0.18638850889192887,0.02535567715458325,0.01773135800447569,0.0038327709075204565,0.568477603997075,0.15977352181181112,-0.04278184526027237,0.0,0.0,0.0,502.1737281916887,-0.060282212418716015,-0.19464489175854652,99.95721815473972,502.1737281916887,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,PGPR,main,LIR,0.35,0.03088579289637642,0.18638850889192887,0.02535567715458325,0.01773135800447569,0.0038327709075204565,0.568477603997075,0.15977352181181112,-0.06105767351318593,0.0,0.0,0.0,502.1737281916887,-0.060282212418716015,-0.19464489175854652,99.93894232648681,502.1737281916887,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,PGPR,main,LIR,0.4,0.030876024493573302,0.18638850889192887,0.02535567715458325,0.01773135800447569,0.0038327709075204565,0.568477603997075,0.15977352181181112,-0.0926658581448063,0.0,0.0,0.0,502.1737281916887,-0.060282212418716015,-0.19464489175854652,99.9073341418552,502.1737281916887,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
LastFM,PGPR,main,LIR,0.45,0.030892757102494492,0.18638850889192887,0.02535567715458325,0.01773135800447569,0.0038327709075204565,0.568477603997075,0.15977352181181112,-0.038523189910356394,0.0,0.0,0.0,502.1737281916887,-0.060282212418716015,-0.19464489175854652,99.96147681008965,502.1737281916887,strict baseline-preserving canonical alpha sweep over the frozen original top-k item set,strict canonical NDCG@10; alpha=0 is verified to exactly preserve the original top-k ranking
