alpha,metric,group,data,opt
0,ndcg,Overall,0.3198111064370784,ETDopt
0,ndcg,Male,0.3171954682339186,ETDopt
0,ndcg,Female,0.3263254926748138,ETDopt
0,ndcg,Under 18,0.2834001162965849,ETDopt
0,ndcg,18-24,0.3250780370937389,ETDopt
0,ndcg,25-34,0.3152279999392849,ETDopt
0,ndcg,35-44,0.33153550925440534,ETDopt
0,ndcg,45-49,0.29852375302344986,ETDopt
0,ndcg,50-55,0.3153261903340414,ETDopt
0,ndcg,56+,0.3503037073997773,ETDopt
0,ndcg,other,0.2821208320630004,ETDopt
0,ndcg,academic/educator,0.31255448014516657,ETDopt
0,ndcg,artist,0.31380107043821676,ETDopt
0,ndcg,clerical/admin,0.28251454906534224,ETDopt
0,ndcg,college/grad student,0.32108547247539404,ETDopt
0,ndcg,customer service,0.2925497543119612,ETDopt
0,ndcg,doctor/health care,0.34069130694442173,ETDopt
0,ndcg,executive/managerial,0.34250428220252765,ETDopt
0,ndcg,farmer,0.35282757294134975,ETDopt
0,ndcg,homemaker,0.38936562104805655,ETDopt
0,ndcg,K-12 student,0.2886264560864168,ETDopt
0,ndcg,lawyer,0.29865637548674684,ETDopt
0,ndcg,programmer,0.3091139145971682,ETDopt
0,ndcg,retired,0.353120247656077,ETDopt
0,ndcg,sales/marketing,0.3174464317392833,ETDopt
0,ndcg,scientist,0.32041463420692756,ETDopt
0,ndcg,self-employed,0.3208569973834886,ETDopt
0,ndcg,technician/engineer,0.3681214237963967,ETDopt
0,ndcg,tradesman/craftsman,0.28678301251246885,ETDopt
0,ndcg,unemployed,0.34438151209027423,ETDopt
0,ndcg,writer,0.31319020269139236,ETDopt
0,hr,Overall,0.5362582781456954,ETDopt
0,hr,Male,0.5301316093280998,ETDopt
0,hr,Female,0.5515222482435597,ETDopt
0,hr,Under 18,0.4751131221719457,ETDopt
0,hr,18-24,0.5485040797824116,ETDopt
0,hr,25-34,0.5348282442748091,ETDopt
0,hr,35-44,0.539815590947192,ETDopt
0,hr,45-49,0.5181818181818182,ETDopt
0,hr,50-55,0.5221774193548387,ETDopt
0,hr,56+,0.5763157894736842,ETDopt
0,hr,other,0.4936708860759494,ETDopt
0,hr,academic/educator,0.5397727272727273,ETDopt
0,hr,artist,0.5168539325842697,ETDopt
0,hr,clerical/admin,0.4682080924855491,ETDopt
0,hr,college/grad student,0.5322793148880105,ETDopt
0,hr,customer service,0.5089285714285714,ETDopt
0,hr,doctor/health care,0.5508474576271186,ETDopt
0,hr,executive/managerial,0.5625920471281296,ETDopt
0,hr,farmer,0.5294117647058824,ETDopt
0,hr,homemaker,0.6304347826086957,ETDopt
0,hr,K-12 student,0.4896907216494845,ETDopt
0,hr,lawyer,0.5193798449612403,ETDopt
0,hr,programmer,0.5025773195876289,ETDopt
0,hr,retired,0.5915492957746479,ETDopt
0,hr,sales/marketing,0.5529801324503312,ETDopt
0,hr,scientist,0.5555555555555556,ETDopt
0,hr,self-employed,0.5435684647302904,ETDopt
0,hr,technician/engineer,0.599601593625498,ETDopt
0,hr,tradesman/craftsman,0.4714285714285714,ETDopt
0,hr,unemployed,0.5416666666666666,ETDopt
0,hr,writer,0.5373665480427047,ETDopt
0,recall,Overall,0.046480901200911556,ETDopt
0,recall,Male,0.044779506511268406,ETDopt
0,recall,Female,0.050781987725972436,ETDopt
0,recall,Under 18,0.035817316841635354,ETDopt
0,recall,18-24,0.04747925230592578,ETDopt
0,recall,25-34,0.04589460571935612,ETDopt
0,recall,35-44,0.04756381067280803,ETDopt
0,recall,45-49,0.04633205750048098,ETDopt
0,recall,50-55,0.04769210268212854,ETDopt
0,recall,56+,0.04819421353893727,ETDopt
0,recall,other,0.0450162344360698,ETDopt
0,recall,academic/educator,0.04592332801217139,ETDopt
0,recall,artist,0.04535187830310137,ETDopt
0,recall,clerical/admin,0.046336188609958674,ETDopt
