alpha,metric,group,data,opt
0.2,SEP,35-44,0.8737363664474844,baseline
0.2,SEP,45-49,0.8906424162182262,baseline
0.2,SEP,50-55,0.8665703966025603,baseline
0.2,SEP,56+,0.8815153430840417,baseline
0.2,ETD,Overall,0.29345566027713277,baseline
0.2,ETD,Male,0.2949272802213979,baseline
0.2,ETD,Female,0.2926774784434616,baseline
0.2,ETD,Under 18,0.2939632545931759,baseline
0.2,ETD,18-24,0.2949945967187347,baseline
0.2,ETD,25-34,0.29499421296296297,baseline
0.2,ETD,35-44,0.2911877394636016,baseline
0.2,ETD,45-49,0.2981715893108297,baseline
0.2,ETD,50-55,0.2797619047619047,baseline
0.2,ETD,56+,0.27614379084967317,baseline
0.25,ndcg,Overall,0.19699498897658932,baseline
0.25,ndcg,Male,0.19744398880184813,baseline
0.25,ndcg,Female,0.19111510725859554,baseline
0.25,ndcg,Under 18,0.19824689282521774,baseline
0.25,ndcg,18-24,0.19277614439357882,baseline
0.25,ndcg,25-34,0.19899095017162174,baseline
0.25,ndcg,35-44,0.21902296545454375,baseline
0.25,ndcg,45-49,0.17201205770758077,baseline
0.25,ndcg,50-55,0.12691837961999453,baseline
0.25,ndcg,56+,0.1370726962750365,baseline
0.25,hr,Overall,0.3015293312029217,baseline
0.25,hr,Male,0.30129526052399175,baseline
0.25,hr,Female,0.29159212880143115,baseline
0.25,hr,Under 18,0.3054466230936819,baseline
0.25,hr,18-24,0.29105571847507333,baseline
0.25,hr,25-34,0.3069016152716593,baseline
0.25,hr,35-44,0.33413461538461536,baseline
0.25,hr,45-49,0.24324324324324326,baseline
0.25,hr,50-55,0.18,baseline
0.25,hr,56+,0.23333333333333334,baseline
0.25,recall,Overall,0.024321063643972657,baseline
0.25,recall,Male,0.022972020747230013,baseline
0.25,recall,Female,0.024449449314599084,baseline
0.25,recall,Under 18,0.024326629018031076,baseline
0.25,recall,18-24,0.02293625005984219,baseline
0.25,recall,25-34,0.024135155133591633,baseline
0.25,recall,35-44,0.022306432148215236,baseline
0.25,recall,45-49,0.014448372485661836,baseline
0.25,recall,50-55,0.014689359198855372,baseline
0.25,recall,56+,0.011081392456695243,baseline
0.25,precision,Overall,0.05702655405919502,baseline
0.25,precision,Male,0.05662349131586694,baseline
0.25,precision,Female,0.054427549194991064,baseline
0.25,precision,Under 18,0.056688453159041405,baseline
0.25,precision,18-24,0.054349951124144674,baseline
0.25,precision,25-34,0.05800293685756241,baseline
0.25,precision,35-44,0.06225961538461538,baseline
0.25,precision,45-49,0.056756756756756746,baseline
0.25,precision,50-55,0.052000000000000005,baseline
0.25,precision,56+,0.045000000000000005,baseline
0.25,LIR,Overall,0.0599346788647106,baseline
0.25,LIR,Male,0.06149888402579095,baseline
0.25,LIR,Female,0.05514129372229773,baseline
0.25,LIR,Under 18,0.05398570550714413,baseline
0.25,LIR,18-24,0.06510441912756582,baseline
0.25,LIR,25-34,0.058624641727220816,baseline
0.25,LIR,35-44,0.04985755258342139,baseline
0.25,LIR,45-49,0.06407895946389626,baseline
0.25,LIR,50-55,0.033651337902266626,baseline
0.25,LIR,56+,0.06514231052586128,baseline
0.25,SEP,Overall,0.8763715597910752,baseline
0.25,SEP,Male,0.875777221469814,baseline
0.25,SEP,Female,0.8776335440517049,baseline
0.25,SEP,Under 18,0.8771710345936206,baseline
0.25,SEP,18-24,0.8754412409592705,baseline
0.25,SEP,25-34,0.8768515634881254,baseline
0.25,SEP,35-44,0.8737363664474844,baseline
0.25,SEP,45-49,0.8906424162182262,baseline
0.25,SEP,50-55,0.8665703966025603,baseline
0.25,SEP,56+,0.8815153430840417,baseline
0.25,ETD,Overall,0.29345566027713277,baseline
0.25,ETD,Male,0.2949272802213979,baseline
0.25,ETD,Female,0.2926774784434616,baseline
0.25,ETD,Under 18,0.2939632545931759,baseline
0.25,ETD,18-24,0.2949945967187347,baseline
0.25,ETD,25-34,0.29499421296296297,baseline
0.25,ETD,35-44,0.2911877394636016,baseline
0.25,ETD,45-49,0.2981715893108297,baseline
0.25,ETD,50-55,0.2797619047619047,baseline
0.25,ETD,56+,0.27614379084967317,baseline
0.3,ndcg,Overall,0.19699498897658932,baseline
0.3,ndcg,Male,0.19744398880184813,baseline
0.3,ndcg,Female,0.19111510725859554,baseline
0.3,ndcg,Under 18,0.19824689282521774,baseline
0.3,ndcg,18-24,0.19277614439357882,baseline
0.3,ndcg,25-34,0.19899095017162174,baseline
0.3,ndcg,35-44,0.21902296545454375,baseline
0.3,ndcg,45-49,0.17201205770758077,baseline
0.3,ndcg,50-55,0.12691837961999453,baseline
0.3,ndcg,56+,0.1370726962750365,baseline
0.3,hr,Overall,0.3015293312029217,baseline
0.3,hr,Male,0.30129526052399175,baseline
0.3,hr,Female,0.29159212880143115,baseline
0.3,hr,Under 18,0.3054466230936819,baseline
0.3,hr,18-24,0.29105571847507333,baseline
0.3,hr,25-34,0.3069016152716593,baseline
0.3,hr,35-44,0.33413461538461536,baseline
0.3,hr,45-49,0.24324324324324326,baseline
0.3,hr,50-55,0.18,baseline
0.3,hr,56+,0.23333333333333334,baseline
0.3,recall,Overall,0.024321063643972657,baseline
0.3,recall,Male,0.022972020747230013,baseline
0.3,recall,Female,0.024449449314599084,baseline
0.3,recall,Under 18,0.024326629018031076,baseline
0.3,recall,18-24,0.02293625005984219,baseline
0.3,recall,25-34,0.024135155133591633,baseline
0.3,recall,35-44,0.022306432148215236,baseline
0.3,recall,45-49,0.014448372485661836,baseline
0.3,recall,50-55,0.014689359198855372,baseline
0.3,recall,56+,0.011081392456695243,baseline
0.3,precision,Overall,0.05702655405919502,baseline
0.3,precision,Male,0.05662349131586694,baseline
0.3,precision,Female,0.054427549194991064,baseline
0.3,precision,Under 18,0.056688453159041405,baseline
0.3,precision,18-24,0.054349951124144674,baseline
0.3,precision,25-34,0.05800293685756241,baseline
0.3,precision,35-44,0.06225961538461538,baseline
0.3,precision,45-49,0.056756756756756746,baseline
0.3,precision,50-55,0.052000000000000005,baseline
0.3,precision,56+,0.045000000000000005,baseline
0.3,LIR,Overall,0.0599346788647106,baseline
0.3,LIR,Male,0.06149888402579095,baseline
0.3,LIR,Female,0.05514129372229773,baseline
0.3,LIR,Under 18,0.05398570550714413,baseline
0.3,LIR,18-24,0.06510441912756582,baseline
0.3,LIR,25-34,0.058624641727220816,baseline
0.3,LIR,35-44,0.04985755258342139,baseline
0.3,LIR,45-49,0.06407895946389626,baseline
0.3,LIR,50-55,0.033651337902266626,baseline
0.3,LIR,56+,0.06514231052586128,baseline
0.3,SEP,Overall,0.8763715597910752,baseline
0.3,SEP,Male,0.875777221469814,baseline
0.3,SEP,Female,0.8776335440517049,baseline
0.3,SEP,Under 18,0.8771710345936206,baseline
0.3,SEP,18-24,0.8754412409592705,baseline
0.3,SEP,25-34,0.8768515634881254,baseline
0.3,SEP,35-44,0.8737363664474844,baseline
0.3,SEP,45-49,0.8906424162182262,baseline
0.3,SEP,50-55,0.8665703966025603,baseline
0.3,SEP,56+,0.8815153430840417,baseline
0.3,ETD,Overall,0.29345566027713277,baseline
0.3,ETD,Male,0.2949272802213979,baseline
0.3,ETD,Female,0.2926774784434616,baseline
0.3,ETD,Under 18,0.2939632545931759,baseline
0.3,ETD,18-24,0.2949945967187347,baseline
0.3,ETD,25-34,0.29499421296296297,baseline
0.3,ETD,35-44,0.2911877394636016,baseline
0.3,ETD,45-49,0.2981715893108297,baseline
0.3,ETD,50-55,0.2797619047619047,baseline
0.3,ETD,56+,0.27614379084967317,baseline
0.35,ndcg,Overall,0.19699498897658932,baseline
0.35,ndcg,Male,0.19744398880184813,baseline
0.35,ndcg,Female,0.19111510725859554,baseline
0.35,ndcg,Under 18,0.19824689282521774,baseline
0.35,ndcg,18-24,0.19277614439357882,baseline
0.35,ndcg,25-34,0.19899095017162174,baseline
0.35,ndcg,35-44,0.21902296545454375,baseline
0.35,ndcg,45-49,0.17201205770758077,baseline
0.35,ndcg,50-55,0.12691837961999453,baseline
0.35,ndcg,56+,0.1370726962750365,baseline
0.35,hr,Overall,0.3015293312029217,baseline
0.35,hr,Male,0.30129526052399175,baseline
0.35,hr,Female,0.29159212880143115,baseline
0.35,hr,Under 18,0.3054466230936819,baseline
0.35,hr,18-24,0.29105571847507333,baseline
0.35,hr,25-34,0.3069016152716593,baseline
0.35,hr,35-44,0.33413461538461536,baseline
0.35,hr,45-49,0.24324324324324326,baseline
0.35,hr,50-55,0.18,baseline
0.35,hr,56+,0.23333333333333334,baseline
0.35,recall,Overall,0.024321063643972657,baseline
0.35,recall,Male,0.022972020747230013,baseline
0.35,recall,Female,0.024449449314599084,baseline
0.35,recall,Under 18,0.024326629018031076,baseline
0.35,recall,18-24,0.02293625005984219,baseline
0.35,recall,25-34,0.024135155133591633,baseline
0.35,recall,35-44,0.022306432148215236,baseline
0.35,recall,45-49,0.014448372485661836,baseline
0.35,recall,50-55,0.014689359198855372,baseline
0.35,recall,56+,0.011081392456695243,baseline
0.35,precision,Overall,0.05702655405919502,baseline
0.35,precision,Male,0.05662349131586694,baseline
0.35,precision,Female,0.054427549194991064,baseline
0.35,precision,Under 18,0.056688453159041405,baseline
0.35,precision,18-24,0.054349951124144674,baseline
0.35,precision,25-34,0.05800293685756241,baseline
0.35,precision,35-44,0.06225961538461538,baseline
0.35,precision,45-49,0.056756756756756746,baseline
0.35,precision,50-55,0.052000000000000005,baseline
0.35,precision,56+,0.045000000000000005,baseline
0.35,LIR,Overall,0.0599346788647106,baseline
0.35,LIR,Male,0.06149888402579095,baseline
0.35,LIR,Female,0.05514129372229773,baseline
0.35,LIR,Under 18,0.05398570550714413,baseline
0.35,LIR,18-24,0.06510441912756582,baseline
0.35,LIR,25-34,0.058624641727220816,baseline
0.35,LIR,35-44,0.04985755258342139,baseline
0.35,LIR,45-49,0.06407895946389626,baseline
0.35,LIR,50-55,0.033651337902266626,baseline
0.35,LIR,56+,0.06514231052586128,baseline
0.35,SEP,Overall,0.8763715597910752,baseline
0.35,SEP,Male,0.875777221469814,baseline
0.35,SEP,Female,0.8776335440517049,baseline
0.35,SEP,Under 18,0.8771710345936206,baseline
0.35,SEP,18-24,0.8754412409592705,baseline
0.35,SEP,25-34,0.8768515634881254,baseline
0.35,SEP,35-44,0.8737363664474844,baseline
0.35,SEP,45-49,0.8906424162182262,baseline
0.35,SEP,50-55,0.8665703966025603,baseline
0.35,SEP,56+,0.8815153430840417,baseline
0.35,ETD,Overall,0.29345566027713277,baseline
0.35,ETD,Male,0.2949272802213979,baseline
0.35,ETD,Female,0.2926774784434616,baseline
0.35,ETD,Under 18,0.2939632545931759,baseline
0.35,ETD,18-24,0.2949945967187347,baseline
0.35,ETD,25-34,0.29499421296296297,baseline
0.35,ETD,35-44,0.2911877394636016,baseline
0.35,ETD,45-49,0.2981715893108297,baseline
0.35,ETD,50-55,0.2797619047619047,baseline
0.35,ETD,56+,0.27614379084967317,baseline
0.4,ndcg,Overall,0.19699498897658932,baseline
0.4,ndcg,Male,0.19744398880184813,baseline
0.4,ndcg,Female,0.19111510725859554,baseline
0.4,ndcg,Under 18,0.19824689282521774,baseline
0.4,ndcg,18-24,0.19277614439357882,baseline
0.4,ndcg,25-34,0.19899095017162174,baseline
0.4,ndcg,35-44,0.21902296545454375,baseline
0.4,ndcg,45-49,0.17201205770758077,baseline
0.4,ndcg,50-55,0.12691837961999453,baseline
0.4,ndcg,56+,0.1370726962750365,baseline
0.4,hr,Overall,0.3015293312029217,baseline
0.4,hr,Male,0.30129526052399175,baseline
0.4,hr,Female,0.29159212880143115,baseline
0.4,hr,Under 18,0.3054466230936819,baseline
0.4,hr,18-24,0.29105571847507333,baseline
0.4,hr,25-34,0.3069016152716593,baseline
