protocol,model,objective,rec_metric,alpha,rec_value,explainability
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.1,0.035406288321719,0.4262605448587728
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.15,0.035385202654206,0.4264690401456872
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.2,0.0353770658486743,0.4266063085109246
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.25,0.0353963952305905,0.4267044793012958
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.3,0.0354073644728843,0.4267906515768804
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.35,0.035419847913901,0.4268465744131807
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.4,0.035425098102543,0.4269759372437027
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.45,0.035425098102543,0.4270262459279426
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.5,0.0354356313456223,0.4270767099277884
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.55,0.0354356313456223,0.4270893263802865
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.6,0.035437274035547,0.4271334681582899
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.65,0.035437274035547,0.4271475817862691
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.7,0.035437274035547,0.4271659068520592
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.75,0.035437274035547,0.4271686698397228
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.8,0.0354478072786263,0.4271798208823419
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.85,0.0354478072786263,0.4271805160405162
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.9,0.0354478072786263,0.4271809370667466
canonical_all_users_language_models,PEARLM,LIR,ndcg,0.95,0.0354478072786263,0.4271820316378655
canonical_all_users_language_models,PEARLM,LIR,ndcg,1.0,0.0354478072786263,0.4271820316378655
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.0,0.0353023408019217,0.5093715682966913
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.05,0.0353212762809961,0.5232939620673155
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.1,0.0351685941587951,0.5247379887403261
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.15,0.035121209123849,0.5252449163675794
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.2,0.0351554273897233,0.5255738365009116
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.25,0.0351403172207083,0.5258808508404628
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.3,0.0351640351473789,0.5260369235925497
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.35,0.0351842377791767,0.5262035977333956
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.4,0.0351635188874134,0.5263004943480663
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.45,0.0351658307819596,0.5263674945416674
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.5,0.0351431511941619,0.5264404941503654
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.55,0.0351565997574772,0.5265066798706612
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.6,0.0351577164542757,0.5265384623153283
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.65,0.0351582424474019,0.5265608902978792
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.7,0.0351617305190108,0.5265796069842195
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.75,0.0351629076214354,0.5266017880132184
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.8,0.0352149207923947,0.5266172951100664
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.85,0.0352168709903321,0.5266192911386293
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.9,0.0352285209302099,0.5266223879056313
canonical_all_users_language_models,PEARLM,SEP,ndcg,0.95,0.0352285209302099,0.5266238313876012
canonical_all_users_language_models,PEARLM,SEP,ndcg,1.0,0.0352285209302099,0.5266247315562497
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.0,0.0466873249679199,0.0983609271523178
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.05,0.0466982942102137,0.09841059602649
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.1,0.0466861478654953,0.0984437086092715
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.15,0.0466861478654953,0.0984602649006622
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.2,0.0466861478654953,0.0985099337748344
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.25,0.0466747649147915,0.0986092715231787
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.3,0.0466747649147915,0.0986423841059602
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.35,0.0466747649147915,0.0986920529801324
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.4,0.0466747649147915,0.0987086092715231
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.45,0.0466852981578708,0.098841059602649
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.5,0.0466852981578708,0.0988741721854304
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.55,0.0466852981578708,0.0988741721854304
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.6,0.0466852981578708,0.0988907284768211
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.65,0.0466852981578708,0.0988907284768211
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.7,0.0466852981578708,0.0988907284768211
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.75,0.0466852981578708,0.0988907284768211
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.8,0.0466852981578708,0.0988907284768211
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.85,0.0466852981578708,0.0988907284768211
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.9,0.0466852981578708,0.0988907284768211
canonical_all_users_language_models,PEARLM,ETD,ndcg,0.95,0.0466852981578708,0.0988907284768211
canonical_all_users_language_models,PEARLM,ETD,ndcg,1.0,0.0466852981578708,0.0988907284768211
