model,family,users,hr,ndcg,precision,recall,slot_coverage,empty_users,short_users,mean_items,exact_k_users
PGPR,RL path search,6040,0.5112582781456954,0.10189633102321971,0.09291390728477042,0.042342391764034315,1.0,0,0,10.0,6040
UCPR,User-centric RL path search,6040,0.441887417218543,0.08621536338059343,0.06639072847682219,0.0379131543045345,0.8281788079470198,52,2182,8.281788079470198,3858
CAFE,Coarse-to-fine neural-symbolic,6040,0.5543046357615894,0.11665533521160726,0.10711920529801668,0.052023789059083815,1.0,0,0,10.0,6040
TPRec,Time-aware RL path search,6040,0.47450331125827816,0.09421957761035762,0.08970198675496924,0.043771855718988256,0.9999834437086093,0,1,9.999834437086093,6039
KGGLM,Two-stage path language model,6040,0.16887417218543047,0.03364933433877338,0.01930463576158917,0.01050622571509441,0.310612582781457,645,6040,3.1061258278145694,0
PEARLM,KG-constrained path language model,6040,0.21473509933774834,0.03530345749872053,0.027119205298012688,0.011039667771419431,0.6423509933774835,207,4212,6.4235099337748345,1828
