model,objective,baseline_ndcg,opt_alpha0_ndcg,delta_ndcg,baseline_precision,opt_alpha0_precision,delta_precision
KGGLM,LIR,0.033649334338773,0.033649334338773,0.0,0.0193046357615894,0.0193046357615894,0.0
KGGLM,SEP,0.033649334338773,0.033649334338773,0.0,0.0193046357615894,0.0193046357615894,0.0
KGGLM,ETD,0.033649334338773,0.0477493383896796,0.014100004050906605,0.0193046357615894,0.0322350993377483,0.012930463576158898
PEARLM,LIR,0.0353034574987202,0.0353023408019217,-1.1166967985032361e-06,0.0271192052980132,0.0271192052980132,0.0
PEARLM,SEP,0.0353034574987202,0.0353023408019217,-1.1166967985032361e-06,0.0271192052980132,0.0271192052980132,0.0
PEARLM,ETD,0.0353034574987202,0.0466873249679199,0.011383867469199699,0.0271192052980132,0.0403973509933774,0.013278145695364198
