protocol,model,objective,rec_metric,alpha,rec_value,explainability
legacy_four_model,PGPR,LIR,hr,0.2,0.5071,0.9045
legacy_four_model,PGPR,LIR,hr,0.25,0.5023,0.919
legacy_four_model,PGPR,LIR,hr,0.3,0.5,0.9292
legacy_four_model,PGPR,LIR,hr,0.35,0.5007,0.9369
legacy_four_model,PGPR,LIR,hr,0.4,0.5002,0.9425
legacy_four_model,PGPR,LIR,hr,0.45,0.4942,0.9472
legacy_four_model,PGPR,LIR,hr,0.5,0.4887,0.9509
legacy_four_model,PGPR,LIR,hr,0.55,0.4859,0.9539
legacy_four_model,PGPR,LIR,hr,0.6,0.4826,0.9562
legacy_four_model,PGPR,LIR,hr,0.65,0.4805,0.9581
legacy_four_model,PGPR,LIR,hr,0.7,0.4767,0.9596
legacy_four_model,PGPR,LIR,hr,0.75,0.4755,0.9608
legacy_four_model,PGPR,LIR,hr,0.8,0.4733,0.9616
legacy_four_model,PGPR,LIR,hr,0.85,0.4709,0.9622
legacy_four_model,PGPR,LIR,hr,0.9,0.4672,0.9625
legacy_four_model,PGPR,LIR,hr,0.95,0.4632,0.9626
legacy_four_model,PGPR,LIR,hr,1.0,0.3495,0.9627
legacy_four_model,UCPR,LIR,hr,0.0,0.4158,0.4568
legacy_four_model,UCPR,LIR,hr,0.05,0.4142,0.6711
legacy_four_model,UCPR,LIR,hr,0.1,0.4145,0.6863
legacy_four_model,UCPR,LIR,hr,0.15,0.4137,0.6985
legacy_four_model,UCPR,LIR,hr,0.2,0.4103,0.7075
legacy_four_model,UCPR,LIR,hr,0.25,0.4072,0.7145
legacy_four_model,UCPR,LIR,hr,0.3,0.4031,0.7198
legacy_four_model,UCPR,LIR,hr,0.35,0.4041,0.7238
legacy_four_model,UCPR,LIR,hr,0.4,0.4028,0.7266
legacy_four_model,UCPR,LIR,hr,0.45,0.3994,0.7288
legacy_four_model,UCPR,LIR,hr,0.5,0.3968,0.7305
legacy_four_model,UCPR,LIR,hr,0.55,0.3948,0.7317
legacy_four_model,UCPR,LIR,hr,0.6,0.3935,0.7325
legacy_four_model,UCPR,LIR,hr,0.65,0.3927,0.7331
legacy_four_model,UCPR,LIR,hr,0.7,0.3914,0.7335
legacy_four_model,UCPR,LIR,hr,0.75,0.3909,0.7338
legacy_four_model,UCPR,LIR,hr,0.8,0.3909,0.734
legacy_four_model,UCPR,LIR,hr,0.85,0.3893,0.7341
legacy_four_model,UCPR,LIR,hr,0.9,0.3885,0.7341
legacy_four_model,UCPR,LIR,hr,0.95,0.388,0.7342
legacy_four_model,UCPR,LIR,hr,1.0,0.3867,0.7342
legacy_four_model,CAFE,LIR,hr,0.0,0.5543,0.3949
legacy_four_model,CAFE,LIR,hr,0.05,0.5439,0.4897
legacy_four_model,CAFE,LIR,hr,0.1,0.5179,0.5911
legacy_four_model,CAFE,LIR,hr,0.15,0.5038,0.6447
legacy_four_model,CAFE,LIR,hr,0.2,0.4894,0.6696
legacy_four_model,CAFE,LIR,hr,0.25,0.4796,0.6818
legacy_four_model,CAFE,LIR,hr,0.3,0.4692,0.6883
legacy_four_model,CAFE,LIR,hr,0.35,0.4662,0.6921
legacy_four_model,CAFE,LIR,hr,0.4,0.4618,0.6944
legacy_four_model,CAFE,LIR,hr,0.45,0.4593,0.6959
legacy_four_model,CAFE,LIR,hr,0.5,0.4561,0.6969
legacy_four_model,CAFE,LIR,hr,0.55,0.4531,0.6976
legacy_four_model,CAFE,LIR,hr,0.6,0.4522,0.698
legacy_four_model,CAFE,LIR,hr,0.65,0.4507,0.6982
legacy_four_model,CAFE,LIR,hr,0.7,0.4502,0.6984
legacy_four_model,CAFE,LIR,hr,0.75,0.4498,0.6985
legacy_four_model,CAFE,LIR,hr,0.8,0.4505,0.6985
legacy_four_model,CAFE,LIR,hr,0.85,0.4503,0.6985
legacy_four_model,CAFE,LIR,hr,0.9,0.4507,0.6986
legacy_four_model,CAFE,LIR,hr,0.95,0.4503,0.6986
legacy_four_model,CAFE,LIR,hr,1.0,0.3389,0.6986
legacy_four_model,TPRec,LIR,hr,0.0,0.4744,0.4502
legacy_four_model,TPRec,LIR,hr,0.05,0.4827,0.7761
legacy_four_model,TPRec,LIR,hr,0.1,0.4923,0.8255
legacy_four_model,TPRec,LIR,hr,0.15,0.5009,0.8577
legacy_four_model,TPRec,LIR,hr,0.2,0.5064,0.8795
legacy_four_model,TPRec,LIR,hr,0.25,0.5094,0.8949
legacy_four_model,TPRec,LIR,hr,0.3,0.5115,0.9064
legacy_four_model,TPRec,LIR,hr,0.35,0.512,0.9152
legacy_four_model,TPRec,LIR,hr,0.4,0.5102,0.9218
legacy_four_model,TPRec,LIR,hr,0.45,0.5108,0.927
legacy_four_model,TPRec,LIR,hr,0.5,0.5099,0.9312
legacy_four_model,TPRec,LIR,hr,0.55,0.5077,0.9345
legacy_four_model,TPRec,LIR,hr,0.6,0.5054,0.9374
legacy_four_model,TPRec,LIR,hr,0.65,0.4989,0.9395
legacy_four_model,TPRec,LIR,hr,0.7,0.4949,0.9413
legacy_four_model,TPRec,LIR,hr,0.75,0.491,0.9427
legacy_four_model,TPRec,LIR,hr,0.8,0.4878,0.9437
legacy_four_model,TPRec,LIR,hr,0.85,0.485,0.9444
